"name","category","license","license_url","icon_url","title","slug","description","downloads","rating","created_at","url","json_url","download_url","status_detail","downloads_shortened","games_detail","latest_release_version","latest_release_version_formatted","latest_release_at","latest_release_at_atom","author","author_icon_url","author_id","tags_all","created_at_atom","updated_at_atom","watchers","watchers_shortened","badges"
"Reserved","1","mit",,,"Reserved","reserved","Allows players with permission to always be able to connect","621","0.00","2018-09-03 21:56:47","https://umod.org/plugins/reserved","https://umod.org/plugins/reserved.json","https://umod.org/plugins/Reserved.cs","@{value=1; message=; text=Published; icon=check; class=success}","621","System.Object[]","2.0.3","v2.0.3","2018-09-03 21:56:47","2018-09-03T21:56:47+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,bypass","2018-09-03T21:56:47Z","2019-02-12T17:56:52Z","5","5",""
"RightToLeft","1",,,"https://assets.umod.org/images/icons/plugin/5b63967f580e6.jpg","Right To Left","right-to-left","Coverts chat messages to right-to-left format","261","0.00","2018-08-02 23:40:47","https://umod.org/plugins/right-to-left","https://umod.org/plugins/right-to-left.json","https://umod.org/plugins/RightToLeft.cs","@{value=1; message=; text=Published; icon=check; class=success}","261","System.Object[]","0.2.1","v0.2.1","2018-08-02 23:41:16","2018-08-02T23:41:16+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,imported","2018-08-02T23:40:47Z","2019-02-12T13:39:52Z","0","0",""
"RustedStore","1",,,,"Rusted Store","rusted-store","Donation and payment platform","438","0.00","2018-08-05 12:36:36","https://umod.org/plugins/rusted-store","https://umod.org/plugins/rusted-store.json","https://umod.org/plugins/RustedStore.cs","@{value=1; message=; text=Published; icon=check; class=success}","438","System.Object[]","1.0.2","v1.0.2","","","","","0","universal,donations,store,payments,unmaintained","2018-08-05T12:36:36Z","2019-02-12T13:41:01Z","9","9",""
"SecureAdmin","1",,,"https://assets.umod.org/images/icons/plugin/5b6395758bfc5.jpg","Secure Admin","secure-admin","Restricts select admin commands to players with permission","953","0.00","2018-08-02 23:36:21","https://umod.org/plugins/secure-admin","https://umod.org/plugins/secure-admin.json","https://umod.org/plugins/SecureAdmin.cs","@{value=1; message=; text=Published; icon=check; class=success}","953","System.Object[]","1.1.8","v1.1.8","2018-08-02 23:36:51","2018-08-02T23:36:51+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,administration,moderation","2018-08-02T23:36:21Z","2019-02-12T15:04:52Z","11","11",""
"ServerAnnouncer","1",,,"https://assets.umod.org/images/icons/plugin/5b78e4de599e2.jpg","Server Announcer","server-announcer","Allows you to broadcast a message to the server with a custom prefix","964","0.00","2018-07-25 02:35:19","https://umod.org/plugins/server-announcer","https://umod.org/plugins/server-announcer.json","https://umod.org/plugins/ServerAnnouncer.cs","@{value=1; message=; text=Published; icon=check; class=success}","964","System.Object[]","1.0.7","v1.0.7","2018-08-19 03:48:26","2018-08-19T03:48:26+00:00","austinv900","https://assets.umod.org/images/icons/user/5b5bc71c51a3f.png","b0EKY1KXv8","universal,chat,administration","2018-07-25T02:35:19Z","2019-02-12T13:41:45Z","10","10",""
"SkipNightVote","1",,,"https://assets.umod.org/images/icons/plugin/5b63bfaba17d3.jpg","Skip Night Vote","skip-night-vote","Allow users to vote to skip night time","1977","0.00","2018-08-03 02:36:27","https://umod.org/plugins/skip-night-vote","https://umod.org/plugins/skip-night-vote.json","https://umod.org/plugins/SkipNightVote.cs","@{value=1; message=; text=Published; icon=check; class=success}","2.0K","System.Object[]","0.1.4","v0.1.4","2018-08-03 02:36:55","2018-08-03T02:36:55+00:00","k1lly0u","https://assets.umod.org/images/icons/user/5b39dd7690b34.png","72PK2jKL94","universal,imported","2018-08-03T02:36:27Z","2019-02-12T17:34:10Z","58","58",""
"Slack","1",,,"https://assets.umod.org/images/icons/plugin/5b63978632ceb.jpg","Slack","slack","Plugin API for sending messages and notifications to Slack","337","0.00","2018-08-02 23:45:10","https://umod.org/plugins/slack","https://umod.org/plugins/slack.json","https://umod.org/plugins/Slack.cs","@{value=1; message=; text=Published; icon=check; class=success}","337","System.Object[]","0.1.7","v0.1.7","2018-08-02 23:45:41","2018-08-02T23:45:41+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,notifications,api,slack","2018-08-02T23:45:10Z","2019-02-12T13:43:32Z","2","2",""
"SlackChat","1",,,"https://assets.umod.org/images/icons/plugin/5b6398d3177ea.jpg","Slack Chat","slack-chat","Sends all chat messages or keyword-based chat to Slack channel","238","0.00","2018-08-02 23:50:43","https://umod.org/plugins/slack-chat","https://umod.org/plugins/slack-chat.json","https://umod.org/plugins/SlackChat.cs","@{value=1; message=; text=Published; icon=check; class=success}","238","System.Object[]","0.1.2","v0.1.2","2018-08-02 23:51:11","2018-08-02T23:51:11+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,slack,chat","2018-08-02T23:50:43Z","2019-02-12T13:43:36Z","0","0",""
"SlackMutes","1",,,"https://assets.umod.org/images/icons/plugin/5b66ed8ad30a5.jpg","Slack Mutes","slack-mutes","Sends information on server mutes to a Slack channel","237","0.00","2018-08-05 12:28:58","https://umod.org/plugins/slack-mutes","https://umod.org/plugins/slack-mutes.json","https://umod.org/plugins/SlackMutes.cs","@{value=1; message=; text=Published; icon=check; class=success}","237","System.Object[]","1.0.2","v1.0.2","2018-08-11 09:28:13","2018-08-11T09:28:13+00:00","Kinesis","https://assets.umod.org/images/icons/user/5b6d791123a85.jpg","72PK2Q1yL9","universal,slack,chat,notifications","2018-08-05T12:28:58Z","2019-02-12T13:43:40Z","0","0",""
"SlackNotices","1",,,"https://assets.umod.org/images/icons/plugin/5b6398589bff4.jpg","Slack Notices","slack-notices","Sends various notices from in-game to a Slack channel","226","0.00","2018-08-02 23:48:40","https://umod.org/plugins/slack-notices","https://umod.org/plugins/slack-notices.json","https://umod.org/plugins/SlackNotices.cs","@{value=1; message=; text=Published; icon=check; class=success}","226","System.Object[]","0.1.2","v0.1.2","2018-08-02 23:49:06","2018-08-02T23:49:06+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,slack,notifications","2018-08-02T23:48:40Z","2019-02-12T13:43:45Z","0","0",""
"SlackReport","1",,,"https://assets.umod.org/images/icons/plugin/5b6398366f281.jpg","Slack Report","slack-report","Sends reports to Slack via in-game /report command","243","0.00","2018-08-02 23:48:06","https://umod.org/plugins/slack-report","https://umod.org/plugins/slack-report.json","https://umod.org/plugins/SlackReport.cs","@{value=1; message=; text=Published; icon=check; class=success}","243","System.Object[]","0.1.3","v0.1.3","2018-08-02 23:48:37","2018-08-02T23:48:37+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,slack,reporting","2018-08-02T23:48:06Z","2019-02-12T13:43:49Z","0","0",""
"Slap","1",,,"https://assets.umod.org/images/icons/plugin/5b63974443b89.jpg","Slap","slap","Sometimes players just need to be slapped around a bit","394","0.00","2018-08-02 23:44:04","https://umod.org/plugins/slap","https://umod.org/plugins/slap.json","https://umod.org/plugins/Slap.cs","@{value=1; message=; text=Published; icon=check; class=success}","394","System.Object[]","1.2.1","v1.2.1","2018-08-02 23:44:36","2018-08-02T23:44:36+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,punishment,moderation,api","2018-08-02T23:44:04Z","2019-02-12T13:43:53Z","13","13",""
"SleeperGroup","1",,,"https://assets.umod.org/images/icons/plugin/5b639726a536a.jpg","Sleeper Group","sleeper-group","Puts players in a permissions group on disconnect if sleeping","228","0.00","2018-08-02 23:43:34","https://umod.org/plugins/sleeper-group","https://umod.org/plugins/sleeper-group.json","https://umod.org/plugins/SleeperGroup.cs","@{value=1; message=; text=Published; icon=check; class=success}","228","System.Object[]","0.1.0","v0.1.0","2018-08-02 23:43:59","2018-08-02T23:43:59+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,groups,permissions","2018-08-02T23:43:34Z","2019-02-12T13:44:10Z","2","2",""
"StartupCommands","1",,,,"Startup Commands","startup-commands","Automatically runs configured commands on server startup","418","0.00","2018-07-25 02:35:20","https://umod.org/plugins/startup-commands","https://umod.org/plugins/startup-commands.json","https://umod.org/plugins/StartupCommands.cs","@{value=1; message=; text=Published; icon=check; class=success}","418","System.Object[]","1.0.8","v1.0.8","2018-08-01 20:43:38","2018-08-01T20:43:38+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,administration","2018-07-25T02:35:20Z","2019-02-12T13:45:29Z","16","16",""
"SteamChecks","1",,,,"Steam Checks","steam-checks","Kicks players when they join based off of information about their Steam accounts","814","0.00","2018-07-25 02:35:21","https://umod.org/plugins/steam-checks","https://umod.org/plugins/steam-checks.json","https://umod.org/plugins/SteamChecks.cs","@{value=1; message=; text=Published; icon=check; class=success}","814","System.Object[]","3.0.4","v3.0.4","2018-08-01 20:43:38","2018-08-01T20:43:38+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,moderation","2018-07-25T02:35:21Z","2019-02-12T15:07:22Z","28","28",""
"SteamGroups","1",,,,"Steam Groups","steam-groups","Automatically adds members of Steam group(s) to a permissions group","622","0.00","2018-07-25 02:35:21","https://umod.org/plugins/steam-groups","https://umod.org/plugins/steam-groups.json","https://umod.org/plugins/SteamGroups.cs","@{value=1; message=; text=Published; icon=check; class=success}","622","System.Object[]","0.4.1","v0.4.1","2018-08-01 20:43:38","2018-08-01T20:43:38+00:00","Wulf","https://assets.umod.org/images/icons/user/5c2d88ae4ea06.jpg","eL15d45mQo","universal,permissions,steam,groups","2018-07-25T02:35:21Z","2019-02-12T13:46:05Z","29","29",""
"StrikeSystem","1",,,"https://assets.umod.org/images/icons/plugin/5b63836bc2650.jpg","Strike System","strike-system","Strike players and time-ban players with a specific amount of strikes","364","0.00","2018-08-02 22:19:23","https://umod.org/plugins/strike-system","https://umod.org/plugins/strike-system.json","https://umod.org/plugins/StrikeSystem.cs","@{value=1; message=; text=Published; icon=check; class=success}","364","System.Object[]","2.1.3","v2.1.3","2018-08-02 22:19:53","2018-08-02T22:19:53+00:00","LaserHydra","https://assets.umod.org/images/icons/user/5b5bc6885b278.png","0D25jdKzjG","universal,punishment,moderation","2018-08-02T22:19:23Z","2019-02-12T13:46:28Z","3","3",""
"SuicideKill","1",,,,"Suicide and Kill","suicide-and-kill","Suicide chat and admin commands to kill a player","322","0.00","2018-08-05 12:32:19","https://umod.org/plugins/suicide-and-kill","https://umod.org/plugins/suicide-and-kill.json","https://umod.org/plugins/SuicideKill.cs","@{value=1; message=; text=Published; icon=check; class=success}","322","System.Object[]","1.0.0","v1.0.0","2018-08-05 12:32:47","2018-08-05T12:32:47+00:00","Ankawi","","AbRgARe5B4","universal,commands,administration","2018-08-05T12:32:19Z","2019-02-12T16:13:34Z","5","5",""
"Tickets","1",,,,"Tickets","tickets","Allows players to send tickets to admin","755","0.00","2018-07-25 02:35:22","https://umod.org/plugins/tickets","https://umod.org/plugins/tickets.json","https://umod.org/plugins/Tickets.cs","@{value=1; message=; text=Published; icon=check; class=success}","755","System.Object[]","3.1.3","v3.1.3","2018-08-01 20:43:38","2018-08-01T20:43:38+00:00","LaserHydra","https://assets.umod.org/images/icons/user/5b5bc6885b278.png","0D25jdKzjG","universal,moderation,reporting","2018-07-25T02:35:22Z","2019-02-12T18:28:21Z","26","26",""
"TimedExecute","1",,,"https://assets.umod.org/images/icons/plugin/5b66ec71c9025.jpg","Timed Execute","timed-execute","Execute commands every (x) seconds.","918","0.00","2018-08-05 12:24:17","https://umod.org/plugins/timed-execute","https://umod.org/plugins/timed-execute.json","https://umod.org/plugins/TimedExecute.cs","@{value=1; message=; text=Published; icon=check; class=success}","918","System.Object[]","0.7.3","v0.7.3","2018-08-05 12:24:47","2018-08-05T12:24:47+00:00","PaiN","","ZbN5MQx510","universal,imported","2018-08-05T12:24:17Z","2019-02-12T15:07:46Z","44","44",""
